일시,최저기온,최고기온
1973,-17.4,35.2
1974,-15.5,33.9
1975,-11.8,35.3
1976,-18.5,34.8
1977,-16.8,35
1978,-16,36.1
1979,-13,32.6
1980,-16.2,31.7
1981,-16.5,35.2
1982,-14.1,35.5
1983,-13.9,34.3
1984,-15.1,35.2
1985,-16.7,35.4
1986,-19.2,32.8
1987,-15.1,31.6
1988,-12.9,36.6
1989,-11.2,35.3
1990,-17.1,35.5
1991,-15,34.7
1992,-9.7,32.8
1993,-11.2,31.9
1994,-12.6,38.4
1995,-11.1,33.7
1996,-13.8,35.4
1997,-13.7,36.1
1998,-15.4,32.8
1999,-12.3,35.4
2000,-12.1,35.1
2001,-18.6,35.3
2002,-12,34.8
2003,-15.5,32.2
